"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"kaaa habis berapa buat urus berkas sampe kesana nya pliss🥺","40","4","2025-08-29T10:57:40.000Z","youuu_78","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7394773664187171846","7543959970715288327","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/2d9005155fd678fb8ebb12e549e7f2fb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=167191bc&x-expires=1756951200&x-signature=kks71LXcdQvug1dF3oe9fHu8L9I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kaa mau template essaynya kakk","0","0","2025-09-02T15:27:02.000Z","milkyjenoo","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7004355353115264026","7545513703606862610","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/15a3da0585d478688f5d07bbaec2a991~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4a6b86e0&x-expires=1756951200&x-signature=uiL7EUdi6v6MIeLK5Wur2IxPpJE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"ESSAY, MW KAAAA😼😼😼🩷🩷","0","0","2025-08-29T23:41:26.000Z","mrsmllaowk","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7277175629743932417","7544156737549927176","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/d831c91acbbd6a179c5e7a846da98778~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7c468c89&x-expires=1756951200&x-signature=nJeW9cKbobk%2BlirQKjz32NsxTHo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kakk klo anak gapyear bisa gaa?, perlu cantumin nilai rapot juga??, aku udh terlanjur tahun ini untuk gapyear","0","0","2025-09-02T16:15:40.000Z","cherryblup_","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6733450414497170434","7545526254515536648","https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/62ee36e178e9186d8788aa685f4a97b6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8d82a761&x-expires=1756951200&x-signature=nDju3bRqiHmJuaqYOCMflwgj1ZY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kak nilainya berapa aja kak😅","10","0","2025-08-31T10:51:50.000Z","nasyiwa.aqila","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7213020009763881986","7544700615342146322","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/db6c5fb3de11d2b02268b51b2e6e4897~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=828e49a3&x-expires=1756951200&x-signature=W19kSLm6xHuHf59lQ34jFcOZtHY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Wuahh haiii kakak keren,pintar bangettt🔥👏🏻
BUTUH TEMPLATE 🫶🏼","4","0","2025-08-30T12:36:51.000Z","moza.fdc.nns","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7261509129158738950","7544356599491379975","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/3ffd19dae38f135e6974c8d1dc999977~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=99555517&x-expires=1756951200&x-signature=Bme0DvQqmPehRrlgZD%2F21wM9SFA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"essay","0","0","2025-09-02T08:40:23.000Z","dizncv1","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7044682088848049179","7545408911744484103","https://p16-common-sign-useast2a.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/b28baa2db1dcf22a0c29a6b569cc651c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8afb4eec&x-expires=1756951200&x-signature=rqZEGOf1rLcr7zoj2VOx%2Fi2HhgQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mau template essay ya kak","0","0","2025-09-02T12:15:18.000Z","ikangxox","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7000021504306021403","7545464299608785682","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/c6d7698377c396d96f87aceea3ebe914~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7f43b865&x-expires=1756951200&x-signature=dNyy%2F%2B6fAXnYZeT8uzOrulphmnU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"kak mauu template essay nyaaa","0","0","2025-09-03T02:23:26.000Z","girlll18_","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","7513736265121580048","7545682861081543441","https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/27563628ba046b4aaae04e82f01738a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=77e9bac3&x-expires=1756951200&x-signature=8tc6XdGMjGIo6i0xMd3dzgBRWNs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"mauuu essay nyaa 😭","6","0","2025-08-30T00:45:01.000Z","zerraa.ryan","https://www.tiktok.com/@nadaikaa/video/7538096529605709112","6982834879890408450","7544173108988625671","https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/43559af789640495ee416a3bba39807f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=031d71ef&x-expires=1756951200&x-signature=uH7oBQrRMy3c6Gi3thObytEGAgY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
