waktu_interaksi,text_final,diggCount,replyCommentTotal
2025-08-29 10:57:40+00:00,habis urus berkas sampe kesana please,40,4.0
2025-09-02 15:27:02+00:00,template essaynya,0,0.0
2025-08-29 23:41:26+00:00,essay,0,0.0
2025-09-02 16:15:40+00:00,anak gapyear cantumin nilai rapot lanjur gapyear,0,0.0
2025-08-31 10:51:50+00:00,nilai,10,0.0
2025-08-30 12:36:51+00:00,wuahh haiii kakak kerenpintar bangettt butuh template,4,0.0
2025-09-02 08:40:23+00:00,essay,0,0.0
2025-09-02 12:15:18+00:00,template essay,0,0.0
2025-09-03 02:23:26+00:00,mauu template essay nyaaa,0,0.0
2025-08-30 00:45:01+00:00,mauuu essay nyaa,6,0.0
2025-09-02 07:09:12+00:00,mauu essay,0,0.0
2025-08-31 07:26:17+00:00,pleasee spill essay,0,0.0
2025-08-31 07:03:42+00:00,mauu,0,0.0
2025-08-31 16:23:39+00:00,template esayy,0,0.0
2025-09-01 12:39:53+00:00,kakkk mauuu liat essay beasiswa batas umur,1,0.0
2025-08-30 01:26:25+00:00,mauuu template,0,0.0
2025-08-30 15:28:19+00:00,essay,0,0.0
2025-08-29 03:13:51+00:00,mauu template essaynya,0,0.0
2025-08-30 14:48:02+00:00,bagi,0,0.0
2025-08-30 09:38:45+00:00,kaaaaa spilll essay plissss,0,0.0
2025-08-29 12:22:42+00:00,,0,0.0
2025-08-27 11:43:27+00:00,,0,0.0
2025-08-30 03:31:22+00:00,mauuu template nyaa,0,0.0
2025-08-31 00:09:51+00:00,template essay,0,0.0
2025-08-14 19:38:44+00:00,halo if you dont mind share itv yseali thanks a lot,6,0.0
2025-08-29 15:40:15+00:00,please,0,0.0
2025-09-01 02:21:10+00:00,essay,0,0.0
2025-08-29 11:40:27+00:00,agen mandiri,0,0.0
2025-08-29 05:01:49+00:00,mksi,0,0.0
2025-06-03 06:16:42+00:00,allah akuu,8158,21.0
2025-06-02 11:24:54+00:00,pusing tbtb nyobaa,5737,21.0
2025-06-02 14:12:48+00:00,tanda,628,0.0
2025-06-02 13:23:25+00:00,moga susul,866,4.0
2025-07-16 12:03:20+00:00,sounds like very soon gona happen to me,4,0.0
2025-06-02 13:00:44+00:00,damn my dreams but ielts its fkin hard learn bismillah july i get band in ielts,55,9.0
2025-06-02 14:32:53+00:00,amin ayo bisaa,3,0.0
2025-06-03 03:53:41+00:00,claim this energy,22,0.0
2025-08-26 12:41:16+00:00,my perth,1,0.0
2025-06-02 14:01:53+00:00,kaaaakkk impi banget ikutttt,924,4.0
2025-06-12 09:15:44+00:00,lnot in australia but soon i will leave this country,2,0.0
2025-09-01 01:25:33+00:00,anak jugak,1,0.0
2025-07-24 09:41:42+00:00,benerr netap australia banyk ngomong damai gada korup sana,8,0.0
2025-07-19 22:10:57+00:00,one day,1,0.0
2025-08-06 07:49:46+00:00,ikutt,1,0.0
2025-06-04 12:36:15+00:00,one day sydney,1,0.0
2025-08-29 06:54:31+00:00,tunggu,1,0.0
2025-06-06 23:29:49+00:00,take me too find me on aussie yaallah,2,0.0
2025-07-28 01:20:03+00:00,tanda log out indonesia,4,0.0
2025-07-18 21:08:13+00:00,bismillah nular,1,0.0
2025-06-09 02:50:07+00:00,l not in australia but soon i will leave this country,2,0.0
2025-08-22 10:34:36+00:00,tolong ajak,1,0.0
2025-07-14 06:21:57+00:00,pilih,2,0.0
2025-06-10 11:36:40+00:00,one day,1,0.0
2025-09-01 12:42:50+00:00,mauu,0,0.0
2025-06-29 13:34:25+00:00,nularr,1,0.0
2025-06-07 18:48:46+00:00,one day aamiin allah,16,0.0
2025-07-17 05:48:18+00:00,ajak gueeeee,2,0.0
2025-06-09 14:49:33+00:00,insyaallah,3,0.0
2025-07-17 06:11:41+00:00,ajak,1,0.0
2025-08-19 09:00:29+00:00,orangorang dii australia ramah welcome hijab amanaman alhamdulillah orang,1,0.0
2025-06-03 14:29:56+00:00,mauuu jugaa,1,0.0
2025-06-08 02:18:09+00:00,ikuutttt,1,0.0
2025-06-06 19:08:25+00:00,,1,0.0
2025-06-08 13:46:14+00:00,kaikut,1,0.0
2025-06-10 11:18:28+00:00,ajak,2,0.0
2025-08-31 09:27:28+00:00,templatenya,0,0.0
2025-08-30 19:05:26+00:00,kakkk,0,0.0
2025-08-30 23:04:03+00:00,,0,0.0
2025-08-14 02:41:37+00:00,beasiswa tunggu vid selanjutnyaa kka,3,0.0
2025-08-25 06:00:05+00:00,halo template essaynyaa thankyouu,0,0.0
2025-08-23 04:46:24+00:00,butuh serfikat ielts dapetin beasiswa,0,0.0
2025-08-14 04:02:10+00:00,pleaseee tampletnya,0,0.0
2025-08-28 00:07:52+00:00,essay,0,0.0
2025-08-25 08:38:48+00:00,mauuuu kakakkk,0,0.0
2025-08-25 00:47:28+00:00,templatenya,0,0.0
2025-07-17 11:03:49+00:00,muak singapore australia bgt bikin visa study gmn,3,2.0
2025-07-27 07:21:42+00:00,gede umur bisaaa,4,13.0
2025-06-05 05:40:17+00:00,diperth ktmu,1,1.0
2025-08-13 07:56:55+00:00,siap,4,2.0
2025-06-09 15:45:30+00:00,jujur kuliah pindah wn kerja kenal orang pangkat indo pindah wn tetap cari uang pulang tua indo bobrok indo serius main bikin emosi bikin sakit hati,6,1.0
2025-07-09 15:03:55+00:00,kerja sana butuhkanke betul teteh tetap lulus sekolah kesana,3,8.0
2025-06-06 04:50:59+00:00,hijab an ras in,5,10.0
2025-06-19 06:08:41+00:00,ak,2,0.0
2025-06-09 11:34:38+00:00,allah kerja jepang eropa aamiin,21,1.0
2025-06-02 14:14:07+00:00,aminn,60,0.0
2025-06-01 15:57:16+00:00,info mauuu ikuutt,17,6.0
2025-06-01 16:27:17+00:00,mari tinggal negara prindapan,68,0.0
2025-06-10 11:28:32+00:00,blajar bhs inggris dmna serius nanyaa plis jng jokes slnya inggris msih kurengg,2,1.0
2025-06-05 06:56:45+00:00,gmau,4,0.0
2025-07-27 07:16:30+00:00,bahasa inggris,3,1.0
2025-07-27 12:29:18+00:00,perlahan kakak ajar,5,0.0
2025-06-13 13:52:57+00:00,oh one day aamiin,2,0.0
2025-06-05 05:41:08+00:00,lnot in australia but soon i will leave this country,1,0.0
2025-06-03 12:53:53+00:00,mbakkk ikooot,5,0.0
2025-08-02 13:43:09+00:00,moga nyusul,3,0.0
2025-06-08 07:44:47+00:00,allah izin tinggal sana,9,0.0
2025-07-03 10:49:42+00:00,one day aamiin yaallah,2,0.0
2025-01-23 03:33:32+00:00,manifesting claim this energy,389,1.0
2025-04-07 14:56:37+00:00,delete this is inspiring,4,0.0
2025-01-23 06:11:08+00:00,kerennn you have have to survive you have to achieve your dream your goal,33,1.0
2025-01-23 12:48:04+00:00,ive been overwhelmed for preparing my ielts liat video lgsg bangun kasur thank you wish me luck for my undergraduate application,291,2.0
2025-04-16 11:48:48+00:00,allahummabarik may i have this energy,5,0.0
2025-01-23 09:54:32+00:00,but god why this is so hard,70,2.0
2025-01-23 10:12:39+00:00,because it is all worth evwry struggles hang in there,34,0.0
2025-01-24 12:01:38+00:00,ak bayangin kuliah its in a such big universitythe facility the opportunity meeting many people such a blessing,29,1.0
2025-01-24 12:49:21+00:00,you did so great keep it up,1,0.0
2025-06-08 10:17:53+00:00,manifesting,3,0.0
2025-01-22 17:25:05+00:00,claimed this energy,10,1.0
2025-01-24 22:13:37+00:00,merinding perempuan bependidikam ngetik nangus mbak caption mbak semangat juang mbak,5,0.0
2025-01-30 12:38:38+00:00,orang menang kamar krna posisi,13,1.0
2025-01-29 14:20:05+00:00,thank you for making this video,5,1.0
2025-01-29 14:30:37+00:00,,0,0.0
2025-01-25 12:42:41+00:00,inspirations,2,0.0
2025-01-23 01:27:52+00:00,i admire you,6,1.0
2025-01-23 01:53:52+00:00,i admire you moree,0,0.0
2025-01-23 14:03:04+00:00,beyond prouuudd bismillah,3,1.0
2025-01-23 14:09:18+00:00,,0,0.0
2025-01-23 09:18:49+00:00,bismillah,2,0.0
2025-01-26 19:45:44+00:00,kakkkk keren bangett moga nyusul,2,1.0
2025-01-27 06:24:16+00:00,you can do it,1,0.0
2025-01-23 15:09:21+00:00,masyaallah moga,4,1.0
2025-01-23 15:41:05+00:00,yess you can do this,0,0.0
2025-01-23 02:43:44+00:00,,0,1.0
2025-01-23 03:59:57+00:00,,0,0.0
